Poems_1st_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Beauty_MRM	No Match	No Match	No Match
Poems_1st_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Sun_Set_MRM	No Match	No Match	No Match
Poems_1st_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	VoiceofPraise_MRM	No Match	No Match	No Match
Poems_1st_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Poems_2nd_ed_MRM	Match	literary	
Poems_2nd_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Poems_1st_ed_MRM	Match	literary	
Poems_2nd_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Beauty_MRM	No Match	No Match	No Match
Poems_2nd_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	Sun_Set_MRM	No Match	No Match	No Match
Poems_2nd_ed_MRM	Match	literary		Letter to Benjamin Robert Haydon, February 13, 1819	EDITOR-NOTE	VoiceofPraise_MRM	No Match	No Match	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Pl_Friendship	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	St_Botany	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Foscari_MRMplay	Match	literary	1826
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Julian_MRMplay	Match	literary	1823
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	PopetoArbuthnot	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Don_Sebastian_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	All_For_Love_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Much_Ado_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Othello_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Glenarvon_fict	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Anti-Jacobin	Match	per_19thc	from November 20, 1797 to July 9, 1798
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Wheel_Fortune_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Athalie_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Cinna_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Horace_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Cid_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Merope_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Mahomet_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Zaire_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	ReadingMer_per	Match	per_19thc	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Philoctetes_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	King_Lear_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Honeymoon_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Virginius_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	WmTell_play	Match	literary	No Match
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	QuarterlyRev_per	Match	per_19thc	
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Our_Village1st_ed	Match	literary	1824
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Blanch	Match	literary	1827
Poems_2nd_ed_MRM	Match	literary		"Introduction" to Dramatic Works [1854]	MAIN_TEXT	Fiesco_play	Match	literary	No Match
